id,value,feed_id,created_at,lat,lon,ele
0EWZBHVVDWPBC40CHW4Y8HP687,25.849606,1761109,2021-12-07 15:28:49 UTC,,,
0EWZBHX1EX1EAT5WXP300XB3Y2,25.893551,1761109,2021-12-07 15:28:53 UTC,,,
0EWZBHXNVVTHGGYZQ21DE8NVA7,26.376951,1761109,2021-12-07 15:28:55 UTC,,,
0EWZBHY7EPV300VWMC0D1Q31B5,26.728512,1761109,2021-12-07 15:28:57 UTC,,,
0EWZBHYTY0FQ07BHKJVNS1J0RR,26.992184,1761109,2021-12-07 15:28:59 UTC,,,
0EWZBHZEE8QDV0THW9GP9ZBZVR,27.211910,1761109,2021-12-07 15:29:01 UTC,,,
0EWZBJ05MWPRMQ6PJ1QNTMA80G,27.167965,1761109,2021-12-07 15:29:03 UTC,,,
0EWZBJ0R4R2E9285WM0HHEKXD9,26.992184,1761109,2021-12-07 15:29:05 UTC,,,
0EWZBVM5CTH44Y0K3N28BBDNY2,25.585938,1761109,2021-12-07 15:45:53 UTC,,,
0EWZBVNFB9FHG55YF3D6KKTYZ0,25.673824,1761109,2021-12-07 15:45:57 UTC,,,
0EWZBVP195F703NW4WEHP7BGRV,26.245117,1761109,2021-12-07 15:45:59 UTC,,,
0EWZBVPY3TN6KJMCPW0T2090D6,26.948238,1761109,2021-12-07 15:46:02 UTC,,,
0EWZBVQK05GPX7BW0JH8QD156A,27.299803,1761109,2021-12-07 15:46:04 UTC,,,
0EWZBVRAS7H0PSXCBK0NZ652RN,27.563477,1761109,2021-12-07 15:46:06 UTC,,,
0EWZBVS0W0KCE5RGTHCVANXQTA,27.783203,1761109,2021-12-07 15:46:09 UTC,,,
0EWZBVSTXQ4JD2M7CR2T14RCWY,27.915037,1761109,2021-12-07 15:46:11 UTC,,,
0EWZBVTPPBE066ME07DSZDC7ZS,28.046871,1761109,2021-12-07 15:46:14 UTC,,,
0EWZBVVQAHC8KRDFYB95ERC4VA,28.178709,1761109,2021-12-07 15:46:17 UTC,,,
0EWZBVWNTN266FNPTQXV6S5AN0,28.310543,1761109,2021-12-07 15:46:20 UTC,,,
0EWZBVXZNNBVNP4V02JBG37FTX,27.739256,1761109,2021-12-07 15:46:25 UTC,,,
0EWZBVZCY7VCT7S26Z980EXS0G,27.255857,1761109,2021-12-07 15:46:29 UTC,,,
0EWZBW0AK4NZGNT05JNAFHSCD2,26.992184,1761109,2021-12-07 15:46:32 UTC,,,
0EWZBW16YEMK2NT0Y7FXWX2SED,26.772457,1761109,2021-12-07 15:46:35 UTC,,,
0EWZBW1P3CNJT1N9XHBGCADBM9,26.684570,1761109,2021-12-07 15:46:37 UTC,,,
0EWZBW32JKQG3DQ4EQZAJPMZ3Z,26.508785,1761109,2021-12-07 15:46:41 UTC,,,
0EWZBW770WW4GATSVP5EKSBYY7,26.113277,1761109,2021-12-07 15:46:55 UTC,,,
0EWZBWE0AB5KVMWTS9PZW68Z57,25.805664,1761109,2021-12-07 15:47:17 UTC,,,
0EWZBWQN5364N6V0DD9ZSR9VKY,25.717772,1761109,2021-12-07 15:47:49 UTC,,,
0EWZBXD80WXM30HV8QNHBK23TP,25.673824,1761109,2021-12-07 15:49:00 UTC,,,
0EWZBXEQYWBRBQN069EANYK4F8,25.585938,1761109,2021-12-07 15:49:05 UTC,,,
0EWZBXHAQJN006FFG129A4H02T,25.410152,1761109,2021-12-07 15:49:13 UTC,,,
