id,value,feed_id,created_at,lat,lon,ele
0EX0G56SYX50ADSZAZW6R0101N, 27.40,1761112,2021-12-09 01:35:53 UTC,,,
0EX0G58RDTE5JS9WXNZ6J81E4C,27.73,1761112,2021-12-09 01:36:00 UTC,,,
0EX0G5BDQGX08RQX8ZY94CX9FE,25.66,1761112,2021-12-09 01:36:08 UTC,,,
0EX0G5E9BM0B14T1VZC645H16Z,28.81,1761112,2021-12-09 01:36:18 UTC,,,
0EX0G5GAEJJWD3NHHG7X53YBHG,22.26,1761112,2021-12-09 01:36:25 UTC,,,
0EX0G5P1K5ZR3YA6MBNR3G766J,23.60,1761112,2021-12-09 01:36:43 UTC,,,
0EX0G5RAB1D135DNJZ0RTRJ97C,27.11,1761112,2021-12-09 01:36:51 UTC,,,
0EX0G5T6F0F8XJJET4SMNR2TC0,30.43,1761112,2021-12-09 01:36:57 UTC,,,
0EX0G5W28RA8N0K01VNE8XEHB3,27.51,1761112,2021-12-09 01:37:03 UTC,,,
0EX0G5YDDNJVHXAET7JQFXT7DX,27.09,1761112,2021-12-09 01:37:11 UTC,,,
