id,value,feed_id,created_at,lat,lon,ele
0EWVA2HWTZAQM4ZZ3ECZY2W41F,123.540031,1757126,2021-12-02 14:47:52 UTC,,,
0EWVA4ZDMVHYQ4VCDAC9Y64Z4P,123.671867,1757126,2021-12-02 14:52:06 UTC,,,
0EWVA51K47YCCK4XACJGB71J3W,123.671867,1757126,2021-12-02 14:52:13 UTC,,,
0EWVA533NNTBYCQQG02FN8A87W,123.715820,1757126,2021-12-02 14:52:18 UTC,,,
0EWVA550AQWF1BNCG2CHGAHCZ8,123.759758,1757126,2021-12-02 14:52:24 UTC,,,
0EWVABCA1WXB45N4GKRP5XC8B9,123.979485,1757126,2021-12-02 15:03:17 UTC,,,
0EWVABG539S7CXP7YNZ5QJ5FSK,124.418938,1757126,2021-12-02 15:03:30 UTC,,,
0EWVAC49SD2YQBMZR83Q0XE975,123.847656,1757126,2021-12-02 15:04:36 UTC,,,
0EWVB13CP04HFBT6PZPGJTCXYS,124.418938,1757126,2021-12-02 15:41:15 UTC,,,
0EWZAT1SH9SJM9W4PVX8AKG2M8,124.770500,1757126,2021-12-07 14:47:12 UTC,,,
0EWZATQS7Q9GX7NBHHDSGNW1DC,123.496094,1757126,2021-12-07 14:48:24 UTC,,,
0EWZAZ67RB6NFWMGAKY7MCZB2S,123.671867,1757126,2021-12-07 14:56:11 UTC,,,
0EWZB076PK5AXE0QHEQNH095J3,123.452141,1757126,2021-12-07 14:57:59 UTC,,,
0EWZB07KCPN0DXV46797WNCPJ7,123.583984,1757126,2021-12-07 14:58:00 UTC,,,
0EWZB07YD87CTV0HY28ZAHYE1C,123.583984,1757126,2021-12-07 14:58:01 UTC,,,
0EWZB089NVXY71DDNKY7HR90TQ,123.583984,1757126,2021-12-07 14:58:03 UTC,,,
0EWZB08NCD4WSRSH4263QP5HXN,123.540031,1757126,2021-12-07 14:58:04 UTC,,,
0EWZB09FDF1JZH3TJ2GF1Y4M5C,123.671867,1757126,2021-12-07 14:58:06 UTC,,,
0EWZB0A2F8JT7TFWPPP9FQ31DT,123.627930,1757126,2021-12-07 14:58:08 UTC,,,
0EWZB0AY5CGVW49SCFEPK46BNT,123.583984,1757126,2021-12-07 14:58:11 UTC,,,
0EWZB0BME3GGMEKREJY4C6XHSJ,123.583984,1757126,2021-12-07 14:58:13 UTC,,,
0EWZB0C9X4YY0KTN9ZMX19HFT1,123.627930,1757126,2021-12-07 14:58:16 UTC,,,
0EWZB0CYEKCMST1D76BQA2ZWQX,123.627930,1757126,2021-12-07 14:58:18 UTC,,,
0EWZB0DFF7DEGDZ8ACXBFBETVZ,123.583984,1757126,2021-12-07 14:58:20 UTC,,,
0EWZB0FJCB7ZC402B308D6YEQ6,123.671867,1757126,2021-12-07 14:58:26 UTC,,,
0EWZB0FYYCSWG3YGMYKVFWQHB5,123.803711,1757126,2021-12-07 14:58:28 UTC,,,
0EWZB0GBCGJDRK5KYXFCVPQ1GW,123.671867,1757126,2021-12-07 14:58:29 UTC,,,
0EWZB0GRB621VX74NSCW42A6FJ,123.627930,1757126,2021-12-07 14:58:30 UTC,,,
0EWZB0H3XP833PFDR1MWJ6QVZJ,123.715820,1757126,2021-12-07 14:58:31 UTC,,,
0EWZB0HHZ9452CQZZ46X233HGS,123.671867,1757126,2021-12-07 14:58:33 UTC,,,
0EWZB0J2251KMWMCC9YXF2PDCE,123.627930,1757126,2021-12-07 14:58:35 UTC,,,
0EWZB1KPF1SJ3YPK1HZ9TASJ6K,123.540031,1757126,2021-12-07 15:00:25 UTC,,,
0EWZB1M5B59VQY9GX2BYNKJXMX,123.759758,1757126,2021-12-07 15:00:26 UTC,,,
0EWZB1MKQRC2QS2FK8H1AB3JV3,123.627930,1757126,2021-12-07 15:00:28 UTC,,,
0EWZB1N2P5SPX9193Q7C2588QE,123.759758,1757126,2021-12-07 15:00:29 UTC,,,
0EWZB1NHDDCXFXD1TDD6M5W8CW,123.715820,1757126,2021-12-07 15:00:31 UTC,,,
0EWZB1NY4JZSFGJ65Q7ND51F0E,123.715820,1757126,2021-12-07 15:00:32 UTC,,,
